DB Version,Assembly Accession,Chromosome/Plasmid Name,Chromosome/Plasmid Xref,PGD Gene ID,Locus Tag,Feature Type,Start,End,Strand,Gene Name,Gene synonyns,Product Name,Product Name Confidence Class,Product Synonyms,RefSeq Accession,Length (nucleotides),Length (amino acids),Molecular Weight (predicted),Isoelectric Point (predicted),Subcellular Localization [Confidence Class]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650923,PA14_00550,CDS,55575,56984,-,,,hypothetical protein,,,YP_788200.1 ; WP_003136947.1,1410,470,49.9,10.74,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650925,PA14_00560,CDS,57148,58476,+,exoT,,exoenzyme T,,,YP_788201.1 ; WP_003136948.1,1329,443,46.8,5.49,Extracellular [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650927,PA14_00570,CDS,59018,59704,+,,,lipoprotein,,,YP_788202.1 ; WP_003083559.1,687,229,24.4,9.3,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650929,PA14_00580,CDS,59735,60088,+,,,lipoprotein,,,YP_788203.1 ; WP_003083569.1,354,118,12.9,5.73,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650931,PA14_00590,CDS,60241,60750,+,,,lipoprotein,,,YP_788204.1 ; WP_003118560.1,510,170,17.5,5.08,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650933,PA14_00600,CDS,60765,61148,-,,,transcriptional regulator,,,YP_788205.1 ; WP_003104304.1,384,128,14.4,10.56,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650935,PA14_00620,CDS,61430,63091,-,,,hypothetical protein,,,YP_788206.1 ; WP_003136949.1,1662,554,60.1,9.87,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650937,PA14_00630,CDS,63701,63841,+,,,hypothetical protein,,,YP_788207.1 ; WP_003083582.1,141,47,4.8,4.54,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650939,PA14_00640,CDS,64665,66497,+,phzH,,potential phenazine-modifying enzyme,,,YP_788208.1 ; WP_003111526.1,1833,611,69.5,6.89,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650941,PA14_00650,CDS,66550,66978,-,,,hypothetical protein,,,YP_788209.1 ; WP_003083588.1,429,143,15.5,6.39,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650943,PA14_00660,CDS,67187,67735,-,,,RNA 2'-phosphotransferase-like protein,,,YP_788210.1 ; WP_003136950.1,549,183,20,9.87,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650945,PA14_00670,CDS,67774,68280,-,,,hypothetical protein,,,YP_788211.1 ; WP_003083593.1,507,169,18.4,5.72,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650947,PA14_00680,CDS,68346,69266,-,,,LysR family transcriptional regulator,,,YP_788212.1 ; WP_003128174.1,921,307,33.5,6.68,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650949,PA14_00690,CDS,69374,70261,+,,,hypothetical protein,,,YP_788213.1 ; WP_003083599.1,888,296,32,7.91,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650951,PA14_00700,CDS,70324,71028,+,,,hypothetical protein,,,YP_788214.1 ; WP_003136951.1,705,235,25,5.6,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650953,PA14_00710,CDS,71112,71567,+,osmC,,osmotically inducible protein OsmC,,,YP_788215.1 ; WP_003118563.1,456,152,15.6,6.25,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650955,PA14_00720,CDS,71678,71911,+,,,hypothetical protein,,,YP_788216.1 ; WP_003114662.1,234,78,8.3,4.48,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650957,PA14_00730,CDS,71923,72360,-,,,hypothetical protein,,,YP_788217.1 ; WP_003083612.1,438,146,16.1,8.46,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650959,PA14_00740,CDS,72417,72833,-,,,lipoprotein,,,YP_788218.1 ; ,417,139,15726.7,7.19,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650961,PA14_00750,CDS,72925,74052,+,,,hypothetical protein,,,YP_788219.1 ; WP_003136953.1,1128,376,42.3,9.78,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650963,PA14_00760,CDS,74060,75043,-,,,hypothetical protein,,,YP_788220.1 ; WP_003114660.1,984,328,35.5,8.55,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650965,PA14_00770,CDS,75076,75741,-,,,hypothetical protein,,,YP_788221.1 ; WP_003106611.1,666,222,25,6.07,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650967,PA14_00780,CDS,75734,76276,-,,,hypothetical protein,,,YP_788222.1 ; WP_003106612.1,543,181,19.3,6.89,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650969,PA14_00790,CDS,76354,78399,+,prlC,,oligopeptidase A,,,YP_788223.1 ; WP_003136955.1,2046,682,76.1,4.84,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650971,PA14_00800,CDS,78396,78671,+,,,hypothetical protein,,,YP_788224.1 ; WP_003083624.1,276,92,10,9.01,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650973,PA14_00810,CDS,78760,79818,+,,,DNA repair photolyase,,,YP_788225.1 ; WP_003083628.1,1059,353,39.5,8.28,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650975,PA14_00820,CDS,80049,80963,-,tagQ1,,TagQ1,Class 1,TagQ1 ; hypothetical protein,YP_788226.1 ; WP_003083630.1,915,305,31.8,8.93,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650977,PA14_00830,CDS,81025,82737,-,tagR1,,TagR1,Class 1,TagR1 ; hypothetical protein,YP_788227.1 ; WP_003083632.1,1713,571,61.9,5.87,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650979,PA14_00850,CDS,82730,83929,-,tagS1,,TagS1,Class 1,TagS1 ; hypothetical protein,YP_788228.1 ; WP_003136958.1,1200,400,42.2,9.57,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650981,PA14_00860,CDS,83929,84648,-,tagT1,,TagT1,Class 1,TagT1 ; ABC transporter ATP-binding protein,YP_788229.1 ; WP_003136959.1,720,240,26,8.79,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650983,PA14_00875,CDS,84645,87743,-,ppkA,,serine/threonine protein kinase PpkA,,,YP_788230.1 ; WP_003136961.1,3099,1033,110.2,5.15,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650985,PA14_00890,CDS,87751,88479,-,pppA,,PppA,Class 1,PppA ; phosphoprotein phosphatase,YP_788231.1 ; WP_003083639.1,729,243,25.9,6.23,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650987,PA14_00900,CDS,88489,89169,-,tagF1,,TagF1,Class 1,TagF1 ; hypothetical protein,YP_788232.1 ; WP_003083642.1,681,227,23.8,4.4,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650989,PA14_00910,CDS,89166,92474,-,icmF1,tssM1,IcmF1,Class 1,IcmF1 ; hypothetical protein,YP_788233.1 ; WP_003122583.1,3309,1103,121.5,5.99,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650991,PA14_00925,CDS,92696,94045,-,tssL1,,TssL1,Class 1,TssL1 ; hypothetical protein,YP_788234.1 ; WP_003115051.1,1350,450,49,8.12,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650993,PA14_00940,CDS,94052,95386,-,tssK1,,TssK1,Class 1,TssK1 ; hypothetical protein,YP_788235.1 ; WP_003115052.1,1335,445,48.3,6.06,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650995,PA14_00960,CDS,95402,95866,-,tssJ1,,TssJ1,Class 1,TssJ1 ; lipoprotein,YP_788236.1 ; WP_003083660.1,465,155,16.9,6.53,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650997,PA14_00970,CDS,95911,96453,-,,,hypothetical protein,,,YP_788237.1 ; ,543,181,20318,6.29,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1650999,PA14_00980,CDS,96450,97409,-,fha1,,Fha1,Class 1,Fha1 ; hypothetical protein,YP_788238.1 ; ,960,320,33513.3,4.58,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1651001,PA14_00990,CDS,97777,98811,+,tssA1,,TssA1,Class 1,TssA1 ; hypothetical protein,YP_788239.1 ; WP_003111627.1,1035,345,36.6,4.17,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1651003,PA14_01010,CDS,98900,99418,+,hsiB1,tssB1,HsiB1,Class 1,HsiB1 ; hypothetical protein,YP_788240.1 ; WP_003083666.1,519,173,18.8,4.87,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1651005,PA14_01020,CDS,99431,100927,+,hsiC1,tssC1,HsiC1,Class 1,HsiC1 ; hypothetical protein,YP_788241.1 ; WP_003111626.1,1497,499,55.8,4.98,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1651007,PA14_01030,CDS,101003,101491,+,hcp1,,Hcp1,Class 1,Hcp1 ; hypothetical protein,YP_788242.1 ; WP_003083670.1,489,163,17.4,6.8,Extracellular [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1651009,PA14_01040,CDS,101659,102504,+,tagJ1,hsiE1,TagJ1,Class 1,TagJ1 ; secretion protein,YP_788243.1 ; WP_003119488.1,846,282,30.4,4.41,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1651011,PA14_01060,CDS,102506,103015,+,tssE1,,TssE1,Class 1,TssE1 ; hypothetical protein,YP_788244.1 ; WP_003111625.1,510,170,18.7,5.27,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1651013,PA14_01070,CDS,103012,104871,+,tssF1,,TssF1,Class 1,TssF1 ; hypothetical protein,YP_788245.1 ; WP_003083676.1,1860,620,69.4,7.21,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1651015,PA14_01080,CDS,104835,105881,+,tssG1,,TssG1,Class 1,TssG1 ; hypothetical protein,YP_788246.1 ; WP_003104969.1,1047,349,39.5,5.56,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1651017,PA14_01100,CDS,105874,108582,+,clpV1,,ClpV1,Class 1,ClpV1 ; ClpA/B-type chaperone,YP_788247.1 ; WP_003136970.1,2709,903,98.7,5.28,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1651019,PA14_01110,CDS,108629,110560,+,vgrG1a,,VgrG1a,Class 1,VgrG1a ; hypothetical protein,YP_788248.1 ; WP_011666527.1,1932,644,72041.1,6.28,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1651021,PA14_01120,CDS,110675,110959,-,tsi6,,Tsi6,Class 1,Tsi6 ; hypothetical protein,YP_788249.1 ; WP_003111794.1,285,95,10.5,9.14,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1651023,PA14_01130,CDS,110972,111205,-,,,hypothetical protein,,,YP_788250.1 ; WP_003083689.1,234,78,9.3,4.58,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1651025,PA14_01140,CDS,111195,112514,-,tse6,,Tse6,Class 1,Tse6 ; hypothetical protein,YP_788251.1 ; ,1320,440,45114.7,9.44,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1651027,PA14_01150,CDS,112593,113027,-,eagT6,,EagT6,Class 1,EagT6 ; hypothetical protein,YP_788252.1 ; WP_003083692.1,435,145,16.5,6.8,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1651029,PA14_01160,CDS,113281,115506,+,,,hypothetical protein,,,YP_788253.1 ; WP_011666529.1,2226,742,82.8,5.26,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1651031,PA14_01170,CDS,115534,115983,+,,,hypothetical protein,,,YP_788254.1 ; WP_003136987.1,450,150,15.5,8.24,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1651033,PA14_01180,CDS,115913,117112,+,,,hypothetical protein,,,YP_788255.1 ; WP_003136988.1,1200,400,43.6,5.76,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1651035,PA14_01190,CDS,117109,118146,+,,,3-oxoacyl-ACP synthase,,,YP_788256.1 ; WP_003136990.1,1038,346,36.4,5.26,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1651037,PA14_01200,CDS,118146,119237,+,,,hypothetical protein,,,YP_788257.1 ; WP_003136992.1,1092,364,39.4,8.94,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1651039,PA14_01220,CDS,119248,120168,+,,,hypothetical protein,,,YP_788258.1 ; WP_003136994.1,921,307,33.6,5.73,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1651041,PA14_01230,CDS,120178,121410,+,,,hypothetical protein,,,YP_788259.1 ; WP_003136996.1,1233,411,44.9,4.66,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1651043,PA14_01240,CDS,121786,122514,+,,,carbonic anhydrase,,,YP_788260.1 ; WP_003083701.1,729,243,26.6,6.67,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1651045,PA14_01250,CDS,122725,124296,+,,,sulfate transporter,,,YP_788261.1 ; WP_003136999.1,1572,524,54.8,10.16,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1651047,PA14_01270,CDS,124433,125029,+,,,hypothetical protein,,,YP_788262.1 ; WP_003137000.1,597,199,21.5,6.23,Cytoplasmic [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1651049,PA14_01290,CDS,125293,126417,+,coxB,,cytochrome c oxidase subunit II,,,YP_788263.1 ; WP_003101203.1,1125,375,42.2,6.51,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1651051,PA14_01300,CDS,126427,128019,+,coxA,,cytochrome c oxidase subunit I,,,YP_788264.1 ; WP_003083723.1,1593,531,58.8,7.12,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1651053,PA14_01310,CDS,128030,128584,+,,,cytochrome C oxidase assembly protein,,,YP_788265.1 ; WP_003083725.1,555,185,20.4,8.06,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1651055,PA14_01320,CDS,128595,129482,+,coIII,,cytochrome c oxidase subunit III,,,YP_788266.1 ; WP_003083728.1,888,296,33.4,8.73,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1651057,PA14_01330,CDS,129498,129707,-,,,hypothetical protein,,,YP_788267.1 ; WP_003110653.1,210,70,7.5,10.24,Cytoplasmic Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1651059,PA14_01340,CDS,129723,130517,+,,,hypothetical protein,,,YP_788268.1 ; WP_003119510.1,795,265,29.8,9.3,Outer Membrane [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1651061,PA14_01350,CDS,130492,131070,+,,,hypothetical protein,,,YP_788269.1 ; WP_003101218.1,579,193,20.9,10,Unknown [Class 3]
20.1,GCF_000014625.1,chromosome,NC_008463.1,PGD1651063,PA14_01360,CDS,131135,132208,+,,,hypothetical protein,,,YP_788270.1 ; WP_003137003.1,1074,358,38.2,11.01,Cytoplasmic Membrane [Class 3]
